batch,phrase,forecast_queries,traffic_volume,avg_bid_rub,charged_amount_rub,ctr_percent,impressions,clicks,budget_rub,region,period,platforms,currency,captured_at,source
1,кронштейн для телевизора 32,4768,62,54.00,11.50,6.94,2362,164,1886.00,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора 32,4768,9,104.50,15.00,0.78,1675,13,195.00,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора 32,4768,5,94.40,14.60,0.78,1670,13,189.80,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора 43 дюйма,1730,100,234.00,18.90,8.09,1335,108,2041.20,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора 43 дюйма,1730,85,90.40,13.10,7.84,1313,103,1349.30,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора 43 дюйма,1730,62,56.50,10.60,7.71,1284,99,1049.40,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора 43 дюйма,1730,9,98.30,14.30,0.92,870,8,114.40,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора 43 дюйма,1730,5,90.90,15.60,0.81,865,7,109.20,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора 55 дюймов,2477,100,309.30,28.50,7.21,1929,139,3961.50,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора 55 дюймов,2477,85,104.30,18.10,6.70,1911,128,2316.80,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора 55 дюймов,2477,62,65.20,14.90,6.64,1883,125,1862.50,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора 55 дюймов,2477,9,90.80,13.30,0.82,1218,10,133.00,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора 55 дюймов,2477,5,84.40,14.50,0.74,1211,9,130.50,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора 65 дюймов,1714,100,297.70,28.60,7.54,1339,101,2888.60,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора 65 дюймов,1714,85,114.10,19.40,7.32,1325,97,1881.80,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора 65 дюймов,1714,62,72.20,15.40,6.94,1297,90,1386.00,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора 65 дюймов,1714,9,113.50,14.10,0.87,806,7,98.70,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора 65 дюймов,1714,5,106.10,13.30,0.87,801,7,93.10,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора lg,1076,100,200.80,27.30,4.98,863,43,1173.90,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора lg,1076,85,87.10,19.10,4.86,844,41,783.10,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора lg,1076,62,62.90,16.20,4.68,833,39,631.80,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора lg,1076,9,69.60,9.10,0.84,595,5,45.50,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора lg,1076,5,69.40,9.00,0.84,593,5,45.00,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора samsung,860,100,232.40,30.40,5.17,716,37,1124.80,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора samsung,860,85,138.20,22.80,5.05,713,36,820.80,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора samsung,860,62,74.80,17.70,4.97,704,35,619.50,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора samsung,860,9,68.80,13.20,0.96,522,5,66.00,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора samsung,860,5,66.10,13.00,0.96,519,5,65.00,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора выдвижной,1814,100,258.60,24.30,7.91,1466,116,2818.80,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора выдвижной,1814,85,99.10,15.70,7.42,1455,108,1695.60,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора выдвижной,1814,62,61.40,13.10,7.19,1432,103,1349.30,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора выдвижной,1814,9,80.20,10.60,1.00,898,9,95.40,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора выдвижной,1814,5,75.40,11.50,0.89,895,8,92.00,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора купить,6834,100,237.20,22.40,8.09,4214,341,7638.40,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора купить,6834,85,89.60,15.40,7.81,4175,326,5020.40,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора купить,6834,62,57.10,12.50,7.54,4114,310,3875.00,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
